data,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2007-01,0.332462724,0.868140963,0.206284669,0.474496974,1.184225046,3.191783074,0.928755908,0.125645149,0.890210074,0.327569322,3.187209346,1.962876697,5.868160925,5.354696354,0.099025637,3.108483194,3.903429552,1.749254918,0.087443004,1.048713491,0.533395869,0.408580651,0.064137052,0.254183651,0.999436318,0.506218045,0.268519708
2007-02,0.265970179,0.868140963,0.324161622,0.000000000,1.264967663,2.553426459,0.928755908,0.141350792,0.445105037,0.503052888,2.868488412,2.148554222,5.016880327,5.513119323,0.544641005,2.445795568,3.114757085,1.376462886,0.143656363,0.763579408,0.570827158,0.245148391,0.100786797,0.381275477,0.966121774,0.674957393,0.268519708
2007-03,0.465447814,0.434070481,0.383100099,0.237248487,1.870537288,1.915069844,1.702719165,0.157056436,0.413311820,0.561547409,4.270860524,2.042452779,5.981665005,5.639857698,1.584410196,3.764338989,3.723732028,1.577197057,0.143656363,1.007634852,0.636331913,0.359550973,0.082461925,0.169455767,0.699605423,1.063057894,0.230159750
2007-04,0.531940359,0.289380321,0.353630861,0.474496974,1.655223644,2.074658998,1.547926514,0.157056436,0.731243989,0.655138644,3.442186094,1.962876697,6.027066637,7.287456576,1.287333284,3.231456156,3.314421001,1.462491816,0.137410434,0.833654733,0.495964580,0.261491617,0.045812180,0.423639418,1.066065406,1.079931829,0.613759333
2007-05,0.265970179,1.302211444,0.294692384,0.474496974,2.032022522,2.872604766,2.244493445,0.282701584,0.826623640,0.561547409,3.952139590,2.281181026,4.903376247,8.174625203,1.633923014,3.292942636,2.965009148,1.806607538,0.149902292,0.645176272,0.421102001,0.147089034,0.027487308,0.211819709,1.066065406,0.590587719,0.421959542
2007-06,0.664925449,0.723450802,0.235753907,0.000000000,1.655223644,2.234248152,2.399286096,0.235584654,0.667657555,0.631740836,5.195151235,2.281181026,7.059953763,8.364732766,0.643666642,2.910360089,2.989967138,1.720578608,0.068705217,0.698336864,0.355597246,0.081716130,0.018324872,0.127091826,0.766234510,0.674957393,0.115079875
2007-07,0.664925449,0.578760642,0.500977053,1.423490922,2.005108316,2.234248152,1.315737537,0.266995941,1.208142243,0.561547409,3.760907029,2.652536076,7.718277426,9.030109236,1.089282010,2.971846570,3.189631054,2.064694329,0.068705217,0.584766509,0.224587734,0.098059356,0.000000000,0.084727884,0.999436318,0.809948872,0.268519708
2007-08,0.265970179,0.434070481,0.324161622,0.948993948,1.184225046,0.638356615,0.928755908,0.235584654,0.572277905,0.795525497,3.920267496,3.103467209,8.240396193,9.853908675,0.990256372,2.842041777,3.519076514,1.863960158,0.099934861,0.753913846,0.290092490,0.098059356,0.009162436,0.169455767,0.899492686,0.539965915,0.230159750
2007-09,0.598432904,0.578760642,0.294692384,1.660739409,1.520652616,1.436302383,1.006152234,0.251290297,0.890210074,1.029503584,4.238988431,3.236094013,8.115541705,7.952833046,1.138794828,3.231456156,3.603933679,1.691902298,0.131164505,0.886815325,0.589542802,0.065372904,0.027487308,0.550731244,1.066065406,0.691831328,0.306879667
2007-10,0.465447814,1.157521284,0.206284669,0.948993948,1.224596354,1.436302383,1.006152234,0.157056436,0.731243989,0.924213445,4.111500057,2.838213602,7.014552131,9.220216799,1.485384559,3.976125756,3.698774039,2.122046949,0.149902292,1.068044615,0.935782226,0.375894199,0.027487308,0.550731244,1.099379950,0.860570676,0.690479250
